Batting_position ,BATTING,Team,Match,Match Number ,wicket_type,Runs ,Balls ,M,4s,6s,SR
3,Venkatesh Iyer,Kolkata Knight Riders,Chennai Super Kings vs Kolkata Knight Riders,61,c Jadeja b Chahar,9,4,11,2,0,225
4,Nitish Rana (c),Kolkata Knight Riders,Chennai Super Kings vs Kolkata Knight Riders,61,not out,57,44,72,6,1,129.54
5,Rinku Singh,Kolkata Knight Riders,Chennai Super Kings vs Kolkata Knight Riders,61,run out (Ali),54,43,54,4,3,125.58
6,Andre Russell,Kolkata Knight Riders,Chennai Super Kings vs Kolkata Knight Riders,61,not out,2,2,9,0,0,100
1,Wriddhiman Saha †,Gujarat Titans,Gujarat Titans vs Sunrisers Hyderabad ,62,c Abhishek Sharma b Kumar,0,3,4,0,0,0
2,Shubman Gill,Gujarat Titans,Gujarat Titans vs Sunrisers Hyderabad ,62,c Abdul Samad b Kumar,101,58,100,13,1,174.13
3,Sai Sudharsan,Gujarat Titans,Gujarat Titans vs Sunrisers Hyderabad ,62,c Natarajan b Jansen,47,36,70,6,1,130.55
4,Hardik Pandya (c),Gujarat Titans,Gujarat Titans vs Sunrisers Hyderabad ,62,c Tripathi b Kumar,8,6,7,1,0,133.33
5,David Miller,Gujarat Titans,Gujarat Titans vs Sunrisers Hyderabad ,62,c Markram b Natarajan,7,5,8,1,0,140
6,Rahul Tewatia,Gujarat Titans,Gujarat Titans vs Sunrisers Hyderabad ,62,c Jansen b Fazalhaq Farooqi,3,3,7,0,0,100
7,Dasun Shanaka,Gujarat Titans,Gujarat Titans vs Sunrisers Hyderabad ,62,not out,9,7,12,1,0,128.57
8,Rashid Khan,Gujarat Titans,Gujarat Titans vs Sunrisers Hyderabad ,62,c †Klaasen b Kumar,0,1,2,0,0,0
9,Noor Ahmad,Gujarat Titans,Gujarat Titans vs Sunrisers Hyderabad ,62,run out (†Klaasen/Kumar),0,1,1,0,0,0
10,Mohammed Shami,Gujarat Titans,Gujarat Titans vs Sunrisers Hyderabad ,62,c Jansen b Kumar,0,1,3,0,0,0
11,Mohit Sharma,Gujarat Titans,Gujarat Titans vs Sunrisers Hyderabad ,62,not out,0,1,1,0,0,0
1,Anmolpreet Singh,Sunrisers Hyderabad ,Gujarat Titans vs Sunrisers Hyderabad ,62,c Rashid Khan b Mohammed Shami,5,4,5,1,0,125
2,Abhishek Sharma,Sunrisers Hyderabad ,Gujarat Titans vs Sunrisers Hyderabad ,62,c †Saha b Yash Dayal,5,5,10,1,0,100
3,Aiden Markram (c),Sunrisers Hyderabad ,Gujarat Titans vs Sunrisers Hyderabad ,62,c Shanaka b Mohammed Shami,10,10,19,1,0,100
4,Rahul Tripathi,Sunrisers Hyderabad ,Gujarat Titans vs Sunrisers Hyderabad ,62,c Tewatia b Mohammed Shami,1,2,5,0,0,50
5,Heinrich Klaasen †,Sunrisers Hyderabad ,Gujarat Titans vs Sunrisers Hyderabad ,62,c Miller b Mohammed Shami,64,44,73,4,3,145.45
6,Sanvir Singh,Sunrisers Hyderabad ,Gujarat Titans vs Sunrisers Hyderabad ,62,c Sai Sudharsan b Sharma,7,6,12,0,1,116.66
7,Abdul Samad,Sunrisers Hyderabad ,Gujarat Titans vs Sunrisers Hyderabad ,62,c sub (Shivam Mavi) b Sharma,4,3,5,1,0,133.33
8,Marco Jansen,Sunrisers Hyderabad ,Gujarat Titans vs Sunrisers Hyderabad ,62,c Pandya b Sharma,3,6,11,0,0,50
9,Bhuvneshwar Kumar,Sunrisers Hyderabad ,Gujarat Titans vs Sunrisers Hyderabad ,62,c Rashid Khan b Sharma,27,26,51,3,0,103.84
10,Mayank Markande,Sunrisers Hyderabad ,Gujarat Titans vs Sunrisers Hyderabad ,62,not out,18,9,17,2,1,200
11,Fazalhaq Farooqi,Sunrisers Hyderabad ,Gujarat Titans vs Sunrisers Hyderabad ,62,not out,1,5,5,0,0,20
1,Deepak Hooda,Lucknow Super Giants ,Lucknow Super Giants vs Mumbai Indians ,63,c David b Behrendorff,5,7,12,0,0,71.42
2,Quinton de Kock †,Lucknow Super Giants ,Lucknow Super Giants vs Mumbai Indians ,63,c †Ishan Kishan b Chawla,16,15,31,0,2,106.66
3,Prerak Mankad,Lucknow Super Giants ,Lucknow Super Giants vs Mumbai Indians ,63,c †Ishan Kishan b Behrendorff,0,1,2,0,0,0
4,Krunal Pandya (c),Lucknow Super Giants ,Lucknow Super Giants vs Mumbai Indians ,63,retired hurt,49,42,71,1,1,116.66
5,Marcus Stoinis,Lucknow Super Giants ,Lucknow Super Giants vs Mumbai Indians ,63,not out,89,47,80,4,8,189.36
6,Nicholas Pooran,Lucknow Super Giants ,Lucknow Super Giants vs Mumbai Indians ,63,not out,8,8,25,1,0,100
1,Ishan Kishan †,Mumbai Indians ,Lucknow Super Giants vs Mumbai Indians ,63,c Naveen-ul-Haq b Ravi Bishnoi,59,39,54,8,1,151.28
2,Rohit Sharma (c),Mumbai Indians ,Lucknow Super Giants vs Mumbai Indians ,63,c Hooda b Ravi Bishnoi,37,25,47,1,3,148
3,Suryakumar Yadav,Mumbai Indians ,Lucknow Super Giants vs Mumbai Indians ,63,b Yash Thakur,7,9,22,0,0,77.77
4,Nehal Wadhera,Mumbai Indians ,Lucknow Super Giants vs Mumbai Indians ,63,c sub (K Gowtham) b Mohsin Khan,16,20,28,2,0,80
5,Tim David,Mumbai Indians ,Lucknow Super Giants vs Mumbai Indians ,63,not out,32,19,41,1,3,168.42
6,Vishnu Vinod,Mumbai Indians ,Lucknow Super Giants vs Mumbai Indians ,63,c Pooran b Yash Thakur,2,4,9,0,0,50
7,Cameron Green,Mumbai Indians ,Lucknow Super Giants vs Mumbai Indians ,63,not out,4,6,17,0,0,66.66
1,David Warner (c),Delhi Capitals ,Delhi Capitals vs Punjab Kings ,64,c Dhawan b Curran,46,31,53,5,2,148.38
2,Prithvi Shaw,Delhi Capitals ,Delhi Capitals vs Punjab Kings ,64,c Taide b Curran,54,38,74,7,1,142.1
3,Rilee Rossouw,Delhi Capitals ,Delhi Capitals vs Punjab Kings ,64,not out,82,37,44,6,6,221.62
4,Phil Salt †,Delhi Capitals ,Delhi Capitals vs Punjab Kings ,64,not out,26,14,21,2,2,185.71
1,Prabhsimran Singh,Punjab Kings ,Delhi Capitals vs Punjab Kings ,64,c Dhull b Patel,22,19,40,4,0,115.78
2,Shikhar Dhawan (c),Punjab Kings ,Delhi Capitals vs Punjab Kings ,64,c Aman Hakim Khan b Sharma,0,1,9,0,0,0
3,Atharva Taide,Punjab Kings ,Delhi Capitals vs Punjab Kings ,64,retired out,55,42,67,5,2,130.95
4,Liam Livingstone,Punjab Kings ,Delhi Capitals vs Punjab Kings ,64,c Patel b Sharma,94,48,69,5,9,195.83
5,Jitesh Sharma †,Punjab Kings ,Delhi Capitals vs Punjab Kings ,64,c Ahmed b Nortje,0,3,4,0,0,0
6,M Shahrukh Khan,Punjab Kings ,Delhi Capitals vs Punjab Kings ,64,c Patel b Ahmed,6,3,7,0,1,200
7,Sam Curran,Punjab Kings ,Delhi Capitals vs Punjab Kings ,64,b Nortje,11,5,13,1,1,220
8,Harpreet Brar,Punjab Kings ,Delhi Capitals vs Punjab Kings ,64,run out (†Salt/Nortje),0,1,3,0,0,0
9,Rahul Chahar,Punjab Kings ,Delhi Capitals vs Punjab Kings ,64,not out,0,0,9,0,0,-
1,Abhishek Sharma,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs Royal Challengers Bangalore,65,c Lomror b Bracewell,11,14,22,2,0,78.57
2,Rahul Tripathi,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs Royal Challengers Bangalore,65,c Patel b Bracewell,15,12,25,2,1,125
3,Aiden Markram (c),Sunrisers Hyderabad ,Sunrisers Hyderabad  vs Royal Challengers Bangalore,65,b Shahbaz Ahmed,18,20,37,0,0,90
4,Heinrich Klaasen †,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs Royal Challengers Bangalore,65,b Patel,104,51,62,8,6,203.92
5,Harry Brook,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs Royal Challengers Bangalore,65,not out,27,19,37,2,1,142.1
6,Glenn Phillips,Sunrisers Hyderabad ,Sunrisers Hyderabad  vs Royal Challengers Bangalore,65,c Parnell b Mohammed Siraj,5,4,10,1,0,125
1,Virat Kohli,Royal Challengers Bangalore,Sunrisers Hyderabad  vs Royal Challengers Bangalore,65,c Phillips b Kumar,100,63,82,12,4,158.73
2,Faf du Plessis (c),Royal Challengers Bangalore,Sunrisers Hyderabad  vs Royal Challengers Bangalore,65,c Tripathi b Natarajan,71,47,86,7,2,151.06
3,Glenn Maxwell,Royal Challengers Bangalore,Sunrisers Hyderabad  vs Royal Challengers Bangalore,65,not out,5,3,11,1,0,166.66
4,Michael Bracewell,Royal Challengers Bangalore,Sunrisers Hyderabad  vs Royal Challengers Bangalore,65,not out,4,4,6,0,0,100
1,Prabhsimran Singh,Punjab Kings ,Punjab Kings vs Rajasthan Royals,66,c & b Boult,2,2,3,0,0,100
2,Shikhar Dhawan (c),Punjab Kings ,Punjab Kings vs Rajasthan Royals,66,lbw b Zampa,17,12,31,2,1,141.66
3,Atharva Taide,Punjab Kings ,Punjab Kings vs Rajasthan Royals,66,c Padikkal b Saini,19,12,19,3,1,158.33
4,Liam Livingstone,Punjab Kings ,Punjab Kings vs Rajasthan Royals,66,b Saini,9,13,16,1,0,69.23
5,Sam Curran,Punjab Kings ,Punjab Kings vs Rajasthan Royals,66,not out,49,31,72,4,2,158.06
6,Jitesh Sharma †,Punjab Kings ,Punjab Kings vs Rajasthan Royals,66,c sub (D Ferreira) b Saini,44,28,36,3,3,157.14
7,M Shahrukh Khan,Punjab Kings ,Punjab Kings vs Rajasthan Royals,66,not out,41,23,31,4,2,178.26
1,Yashasvi Jaiswal,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,66,c sub (R Dhawan) b Ellis,50,36,72,8,0,138.88
2,Jos Buttler,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,66,lbw b Rabada,0,4,7,0,0,0
3,Devdutt Padikkal,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,66,c Harpreet Brar b Arshdeep Singh,51,30,38,5,3,170
4,Sanju Samson (c)†,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,66,c sub (R Dhawan) b Chahar,2,3,6,0,0,66.66
5,Shimron Hetmyer,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,66,c Dhawan b Curran,46,28,50,4,3,164.28
6,Riyan Parag,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,66,c Taide b Rabada,20,12,21,1,2,166.66
7,Dhruv Jurel,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,66,not out,10,4,11,0,1,250
8,Trent Boult,Rajasthan Royals,Punjab Kings vs Rajasthan Royals,66,not out,1,2,6,0,0,50
1,Ruturaj Gaikwad,Chennai Super Kings ,Chennai Super Kings vs Delhi Capitals ,67,c Rossouw b Sakariya,79,50,68,3,7,158
2,Devon Conway,Chennai Super Kings ,Chennai Super Kings vs Delhi Capitals ,67,c Aman Hakim Khan b Nortje,87,52,90,11,3,167.3
3,Shivam Dube,Chennai Super Kings ,Chennai Super Kings vs Delhi Capitals ,67,c Lalit Yadav b Ahmed,22,9,21,0,3,244.44
4,MS Dhoni (c)†,Chennai Super Kings ,Chennai Super Kings vs Delhi Capitals ,67,not out,5,4,14,0,0,125
5,Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings vs Delhi Capitals ,67,not out,20,7,12,3,1,285.71
1,Prithvi Shaw,Delhi Capitals ,Chennai Super Kings vs Delhi Capitals ,67,c Rayudu b Deshpande,5,7,8,1,0,71.42
2,David Warner (c),Delhi Capitals ,Chennai Super Kings vs Delhi Capitals ,67,c Gaikwad b Pathirana,86,58,92,7,5,148.27
3,Phil Salt †,Delhi Capitals ,Chennai Super Kings vs Delhi Capitals ,67,c Rahane b Chahar,3,6,17,0,0,50
4,Rilee Rossouw,Delhi Capitals ,Chennai Super Kings vs Delhi Capitals ,67,b Chahar,0,1,2,0,0,0
5,Yash Dhull,Delhi Capitals ,Chennai Super Kings vs Delhi Capitals ,67,c Deshpande b Jadeja,13,15,25,1,0,86.66
6,Axar Patel,Delhi Capitals ,Chennai Super Kings vs Delhi Capitals ,67,c Gaikwad b Chahar,15,8,15,1,1,187.5
7,Aman Hakim Khan,Delhi Capitals ,Chennai Super Kings vs Delhi Capitals ,67,c Ali b Pathirana,7,9,17,1,0,77.77
8,Lalit Yadav,Delhi Capitals ,Chennai Super Kings vs Delhi Capitals ,67,c Ali b Theekshana,6,12,16,0,0,50
9,Anrich Nortje,Delhi Capitals ,Chennai Super Kings vs Delhi Capitals ,67,not out,0,1,10,0,0,0
10,Kuldeep Yadav,Delhi Capitals ,Chennai Super Kings vs Delhi Capitals ,67,lbw b Theekshana,0,1,2,0,0,0
11,Chetan Sakariya,Delhi Capitals ,Chennai Super Kings vs Delhi Capitals ,67,not out,0,2,3,0,0,0
1,Karan Sharma,Lucknow Super Giants ,Lucknow Super Giants vs Kolkata Knight Riders,68,c Thakur b Harshit Rana,3,5,15,0,0,60
2,Quinton de Kock †,Lucknow Super Giants ,Lucknow Super Giants vs Kolkata Knight Riders,68,c Russell b Varun,28,27,55,0,2,103.7
3,Prerak Mankad,Lucknow Super Giants ,Lucknow Super Giants vs Kolkata Knight Riders,68,c Harshit Rana b Arora,26,20,22,5,0,130
4,Marcus Stoinis,Lucknow Super Giants ,Lucknow Super Giants vs Kolkata Knight Riders,68,c Iyer b Arora,0,2,5,0,0,0
5,Krunal Pandya (c),Lucknow Super Giants ,Lucknow Super Giants vs Kolkata Knight Riders,68,c Singh b Narine,9,8,13,0,1,112.5
6,Ayush Badoni,Lucknow Super Giants ,Lucknow Super Giants vs Kolkata Knight Riders,68,c Thakur b Narine,25,21,42,2,1,119.04
7,Nicholas Pooran,Lucknow Super Giants ,Lucknow Super Giants vs Kolkata Knight Riders,68,c Iyer b Thakur,58,30,42,4,5,193.33
8,Krishnappa Gowtham,Lucknow Super Giants ,Lucknow Super Giants vs Kolkata Knight Riders,68,not out,11,4,9,1,1,275
9,Ravi Bishnoi,Lucknow Super Giants ,Lucknow Super Giants vs Kolkata Knight Riders,68,b Thakur,2,2,3,0,0,100
10,Naveen-ul-Haq,Lucknow Super Giants ,Lucknow Super Giants vs Kolkata Knight Riders,68,not out,2,3,3,0,0,66.66
1,Jason Roy,Kolkata Knight Riders,Lucknow Super Giants vs Kolkata Knight Riders,68,b Pandya,45,28,44,7,1,160.71
2,Venkatesh Iyer,Kolkata Knight Riders,Lucknow Super Giants vs Kolkata Knight Riders,68,c Ravi Bishnoi b Gowtham,24,15,25,3,1,160
3,Nitish Rana (c),Kolkata Knight Riders,Lucknow Super Giants vs Kolkata Knight Riders,68,c Pandya b Ravi Bishnoi,8,10,13,1,0,80
4,Rahmanullah Gurbaz †,Kolkata Knight Riders,Lucknow Super Giants vs Kolkata Knight Riders,68,c Ravi Bishnoi b Yash Thakur,10,15,25,0,0,66.66
5,Rinku Singh,Kolkata Knight Riders,Lucknow Super Giants vs Kolkata Knight Riders,68,not out,67,33,62,6,4,203.03
6,Andre Russell,Kolkata Knight Riders,Lucknow Super Giants vs Kolkata Knight Riders,68,b Ravi Bishnoi,7,9,13,0,1,77.77
7,Shardul Thakur,Kolkata Knight Riders,Lucknow Super Giants vs Kolkata Knight Riders,68,c Mankad b Yash Thakur,3,7,14,0,0,42.85
8,Sunil Narine,Kolkata Knight Riders,Lucknow Super Giants vs Kolkata Knight Riders,68,run out (Naveen-ul-Haq/†de Kock),1,2,4,0,0,50
9,Vaibhav Arora,Kolkata Knight Riders,Lucknow Super Giants vs Kolkata Knight Riders,68,not out,1,1,15,0,0,100
1,Vivrant Sharma,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Mumbai Indians ,69,c sub (Ramandeep Singh) b Madhwal,69,47,69,9,2,146.8
2,Mayank Agarwal,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Mumbai Indians ,69,c †Ishan Kishan b Madhwal,83,46,84,8,4,180.43
3,Heinrich Klaasen †,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Mumbai Indians ,69,b Madhwal,18,13,31,2,0,138.46
4,Glenn Phillips,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Mumbai Indians ,69,c Kartikeya b Jordan,1,4,8,0,0,25
5,Aiden Markram (c),Sunrisers Hyderabad ,Sunrisers Hyderabad vs Mumbai Indians ,69,not out,13,7,19,0,1,185.71
6,Harry Brook,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Mumbai Indians ,69,b Madhwal,0,1,2,0,0,0
7,Sanvir Singh,Sunrisers Hyderabad ,Sunrisers Hyderabad vs Mumbai Indians ,69,not out,4,3,8,1,0,133.33
1,Ishan Kishan †,Mumbai Indians ,Sunrisers Hyderabad vs Mumbai Indians ,69,c Brook b Kumar,14,12,14,1,1,116.66
2,Rohit Sharma (c),Mumbai Indians ,Sunrisers Hyderabad vs Mumbai Indians ,69,c Nitish Kumar Reddy b Dagar,56,37,72,8,1,151.35
3,Cameron Green,Mumbai Indians ,Sunrisers Hyderabad vs Mumbai Indians ,69,not out,100,47,85,8,8,212.76
4,Suryakumar Yadav,Mumbai Indians ,Sunrisers Hyderabad vs Mumbai Indians ,69,not out,25,16,27,4,0,156.25
1,Virat Kohli,Royal Challengers Bangalore,Royal Challengers Bangalore vs Gujarat Titans,70,not out,101,61,102,13,1,165.57
2,Faf du Plessis (c),Royal Challengers Bangalore,Royal Challengers Bangalore vs Gujarat Titans,70,c Tewatia b Noor Ahmad,28,19,35,5,0,147.36
3,Glenn Maxwell,Royal Challengers Bangalore,Royal Challengers Bangalore vs Gujarat Titans,70,b Rashid Khan,11,5,7,1,1,220
4,Mahipal Lomror,Royal Challengers Bangalore,Royal Challengers Bangalore vs Gujarat Titans,70,st †Saha b Noor Ahmad,1,3,5,0,0,33.33
5,Michael Bracewell,Royal Challengers Bangalore,Royal Challengers Bangalore vs Gujarat Titans,70,c & b Mohammed Shami,26,16,26,5,0,162.5
6,Dinesh Karthik,Royal Challengers Bangalore,Royal Challengers Bangalore vs Gujarat Titans,70,c †Saha b Yash Dayal,0,1,2,0,0,0
7,Anuj Rawat †,Royal Challengers Bangalore,Royal Challengers Bangalore vs Gujarat Titans,70,not out,23,15,30,1,1,153.33
1,Wriddhiman Saha †,Gujarat Titans,Royal Challengers Bangalore vs Gujarat Titans,70,c Parnell b Mohammed Siraj,12,14,15,2,0,85.71
2,Shubman Gill,Gujarat Titans,Royal Challengers Bangalore vs Gujarat Titans,70,not out,104,52,97,5,8,200
3,Vijay Shankar,Gujarat Titans,Royal Challengers Bangalore vs Gujarat Titans,70,c Kohli b Vyshak,53,35,53,7,2,151.42
4,Dasun Shanaka,Gujarat Titans,Royal Challengers Bangalore vs Gujarat Titans,70,c sub (SS Prabhudessai) b Patel,0,3,5,0,0,0
5,David Miller,Gujarat Titans,Royal Challengers Bangalore vs Gujarat Titans,70,c sub (SS Prabhudessai) b Mohammed Siraj,6,7,12,1,0,85.71
6,Rahul Tewatia,Gujarat Titans,Royal Challengers Bangalore vs Gujarat Titans,70,not out,4,5,12,0,0,80
