BOWLING,Team,Match ,Match_Number,O,M,R,W,ECON,0s,4s,6s,WD,NB,BOWLING.1
Jason Holder,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,3,0,16,1,5.33,10,1,1,0,0,Jason Holder
Ravichandran Ashwin,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,4,0,27,1,6.75,10,1,1,2,0,Ravichandran Ashwin
Yuzvendra Chahal,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,4,0,17,4,4.25,11,0,0,0,0,Yuzvendra Chahal
Navdeep Saini,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,2,0,34,0,17,3,3,2,0,3,Navdeep Saini
Mohammed Siraj,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,4,0,21,1,5.25,16,2,0,6,0,Mohammed Siraj
Reece Topley,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,2,0,14,1,7,7,3,0,0,0,Reece Topley
Akash Deep,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,3,0,29,1,9.66,7,2,2,0,0,Akash Deep
Harshal Patel,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,4,0,43,1,10.75,6,3,2,1,1,Harshal Patel
Karn Sharma,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,4,0,32,2,8,7,1,2,1,0,Karn Sharma
Michael Bracewell,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,2,0,16,1,8,6,3,0,0,0,Michael Bracewell
Glenn Maxwell,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,1,0,16,0,16,0,1,1,1,0,Glenn Maxwell
Jason Behrendorff,Mumbai Indians , Mumbai Indians vs Royal Challengers Bangalore,5,3,0,37,0,12.33,6,3,3,0,0,Jason Behrendorff
Arshad Khan,Mumbai Indians , Mumbai Indians vs Royal Challengers Bangalore,5,2.2,0,28,1,12,7,2,2,4,0,Arshad Khan
Jofra Archer,Mumbai Indians , Mumbai Indians vs Royal Challengers Bangalore,5,4,0,33,0,8.25,10,2,2,0,0,Jofra Archer
Piyush Chawla,Mumbai Indians , Mumbai Indians vs Royal Challengers Bangalore,5,4,0,26,0,6.5,11,2,1,0,0,Piyush Chawla
Cameron Green,Mumbai Indians , Mumbai Indians vs Royal Challengers Bangalore,5,2,0,30,1,15,4,2,3,0,0,Cameron Green
Hrithik Shokeen,Mumbai Indians , Mumbai Indians vs Royal Challengers Bangalore,5,1,0,17,0,17,0,0,2,0,0,Hrithik Shokeen
Kyle Mayers,Lucknow Super Giants ,Chennai Super Kings vs Lucknow Super Giants,6,2,0,16,0,8,1,1,0,1,0,Krunal Pandya
Avesh Khan,Lucknow Super Giants ,Chennai Super Kings vs Lucknow Super Giants,6,3,0,39,1,13,4,6,0,1,0,Yash Thakur
Krunal Pandya,Lucknow Super Giants ,Chennai Super Kings vs Lucknow Super Giants,6,2,0,21,0,10.5,4,1,2,0,0,Ben Stokes
Krishnappa Gowtham,Lucknow Super Giants ,Chennai Super Kings vs Lucknow Super Giants,6,1,0,20,0,20,2,0,3,0,0,Moeen Ali
Mark Wood,Lucknow Super Giants ,Chennai Super Kings vs Lucknow Super Giants,6,4,0,49,3,12.25,9,3,5,0,0,Anrich Nortje
Yash Thakur,Lucknow Super Giants ,Chennai Super Kings vs Lucknow Super Giants,6,4,0,36,0,9,4,3,1,0,1,Mitchell Marsh
Ravi Bishnoi,Lucknow Super Giants ,Chennai Super Kings vs Lucknow Super Giants,6,4,0,28,3,7,13,1,2,1,0,David Willey
Deepak Chahar,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,4,0,55,0,13.75,6,7,1,5,0,Shahbaz Ahmed
Ben Stokes,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,1,0,18,0,18,0,2,1,0,0,Suyash Sharma
Tushar Deshpande,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,4,0,45,2,11.25,7,2,2,4,3,Deepak Hooda
Moeen Ali,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,4,0,26,4,6.5,10,0,1,1,0,Amit Mishra
Mitchell Santner,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,4,0,21,1,5.25,9,0,1,0,0,Aiden Markram
Rajvardhan Hangargekar,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,2,0,24,0,12,4,2,1,3,0,Rovman Powell
Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings vs Lucknow Super Giants,6,1,0,14,0,14,2,0,2,0,0,Sandeep Sharma
Mohammed Shami,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,4,0,41,3,10.25,15,5,1,4,0,Murugan Ashwin
Josh Little,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,4,0,27,0,6.75,11,2,1,0,0,Sisanda Magala
Hardik Pandya,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,3,0,18,0,6,6,2,0,0,0,Dwaine Pretorius
Alzarri Joseph,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,4,0,29,2,7.25,13,3,1,1,0,Kumar Kartikeya
Yash Dayal,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,1,0,12,0,12,0,0,1,0,0,Lockie Ferguson
Rashid Khan,Gujarat Titans,Delhi Capitals vs Gujarat Titans,7,4,0,31,3,7.75,9,2,2,0,0,Marco Jansen
Khaleel Ahmed,Delhi Capitals ,Delhi Capitals vs Gujarat Titans,7,4,0,38,1,9.5,9,5,1,1,0,Mayank Markande
Mukesh Kumar,Delhi Capitals ,Delhi Capitals vs Gujarat Titans,7,4,0,42,0,10.5,8,5,2,1,0,Mohit Rathee
Anrich Nortje,Delhi Capitals ,Delhi Capitals vs Gujarat Titans,7,4,0,39,2,9.75,9,3,2,0,2,Wayne Parnell
Mitchell Marsh,Delhi Capitals ,Delhi Capitals vs Gujarat Titans,7,3.1,0,24,1,7.57,4,1,0,1,0,Riley Meredith
Kuldeep Yadav,Delhi Capitals ,Delhi Capitals vs Gujarat Titans,7,3,0,18,0,6,5,1,0,1,0,Tilak Varma
Trent Boult,Rajasthan Royals,Rajasthan Royals vs Punjab Kings ,8,4,0,38,0,9.5,8,3,2,1,0,Mustafizur Rahman
KM Asif,Rajasthan Royals,Rajasthan Royals vs Punjab Kings ,8,4,0,54,0,13.5,7,5,3,3,1,Lalit Yadav
Ravichandran Ashwin,Rajasthan Royals,Rajasthan Royals vs Punjab Kings ,8,4,0,25,1,6.25,7,2,0,1,0,Akash Singh
Jason Holder,Rajasthan Royals,Rajasthan Royals vs Punjab Kings ,8,4,0,29,2,7.25,7,2,1,0,0,Maheesh Theekshana
Yuzvendra Chahal,Rajasthan Royals,Rajasthan Royals vs Punjab Kings ,8,4,0,50,1,12.5,5,7,1,1,0,Kuldeep Sen
Sam Curran,Punjab Kings ,Rajasthan Royals vs Punjab Kings ,8,4,0,44,0,11,7,3,3,0,0,Adam Zampa
Arshdeep Singh,Punjab Kings ,Rajasthan Royals vs Punjab Kings ,8,4,0,47,2,11.75,10,4,3,3,0,Mohit Sharma
Harpreet Brar,Punjab Kings ,Rajasthan Royals vs Punjab Kings ,8,2,0,15,0,7.5,5,2,0,0,0,Kagiso Rabada
Nathan Ellis,Punjab Kings ,Rajasthan Royals vs Punjab Kings ,8,4,0,30,4,7.5,11,2,2,0,0,Matthew Short
Rahul Chahar,Punjab Kings ,Rajasthan Royals vs Punjab Kings ,8,4,0,31,0,7.75,5,1,1,0,0,Andre Russell
Sikandar Raza,Punjab Kings ,Rajasthan Royals vs Punjab Kings ,8,2,0,24,0,12,2,1,1,2,0,Vijaykumar Vyshak
Mohammed Siraj,Royal Challengers Bangalore,Royal Challengers Bangalore vs Kolkata Knight Riders,9,4,0,44,1,11,13,6,1,3,1,Wanindu Hasaranga
David Willey,Royal Challengers Bangalore,Royal Challengers Bangalore vs Kolkata Knight Riders,9,4,1,16,2,4,15,2,0,1,0,Yudhvir Singh
Akash Deep,Royal Challengers Bangalore,Royal Challengers Bangalore vs Kolkata Knight Riders,9,2,0,30,0,15,4,2,2,1,2,Arjun Tendulkar
Michael Bracewell,Royal Challengers Bangalore,Royal Challengers Bangalore vs Kolkata Knight Riders,9,3,0,34,1,11.33,3,1,3,0,0,Duan Jansen
Shahbaz Ahmed,Royal Challengers Bangalore,Royal Challengers Bangalore vs Kolkata Knight Riders,9,1,0,6,0,6,3,1,0,0,0,Noor Ahmad
Karn Sharma,Royal Challengers Bangalore,Royal Challengers Bangalore vs Kolkata Knight Riders,9,3,0,26,2,8.66,6,2,1,0,0,Matheesha Pathirana
Harshal Patel,Royal Challengers Bangalore,Royal Challengers Bangalore vs Kolkata Knight Riders,9,3,0,38,1,12.66,5,4,2,1,0,Naveen-ul-Haq
Umesh Yadav,Kolkata Knight Riders,Royal Challengers Bangalore vs Kolkata Knight Riders,9,2,0,17,0,8.5,5,3,0,0,0,Marcus Stoinis
Tim Southee,Kolkata Knight Riders,Royal Challengers Bangalore vs Kolkata Knight Riders,9,2,0,25,0,12.5,5,2,2,0,0,Liam Livingstone
Sunil Narine,Kolkata Knight Riders,Royal Challengers Bangalore vs Kolkata Knight Riders,9,4,0,16,2,4,12,1,0,0,0,Ishant Sharma
Varun Chakravarthy,Kolkata Knight Riders,Royal Challengers Bangalore vs Kolkata Knight Riders,9,3.4,0,15,4,4.09,13,2,0,0,0,Kulwant Khejroliya
Suyash Sharma,Kolkata Knight Riders,Royal Challengers Bangalore vs Kolkata Knight Riders,9,4,0,30,3,7.5,11,2,2,1,0,Anukul Roy
Shardul Thakur,Kolkata Knight Riders,Royal Challengers Bangalore vs Kolkata Knight Riders,9,2,0,15,1,7.5,4,2,0,0,0,Nitish Rana
Kyle Mayers,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,1,0,5,0,5,1,0,0,0,0,Mayank Dagar
Jaydev Unadkat,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,3,0,26,0,8.66,9,0,3,1,0,Jayant Yadav
Krunal Pandya,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,4,0,18,3,4.5,15,3,0,0,0,Rahul Tewatia
Yash Thakur,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,3,0,23,1,7.66,6,3,0,0,0,David Wiese
Ravi Bishnoi,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,4,0,16,1,4,10,0,0,1,0,Vaibhav Arora
Deepak Hooda,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,1,0,8,0,8,1,1,0,0,0,Kuldip Yadav
Amit Mishra,Lucknow Super Giants ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,4,0,23,2,5.75,10,3,0,0,0,Gurnoor Brar
Bhuvneshwar Kumar,Sunrisers Hyderabad ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,2,0,19,1,9.5,7,1,1,1,0,Ayush Badoni
Washington Sundar,Sunrisers Hyderabad ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,1,0,11,0,11,1,2,0,0,0,Harshit Rana
Fazalhaq Farooqi,Sunrisers Hyderabad ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,3,0,13,1,4.33,12,2,0,1,0,Akeal Hosein
Aiden Markram,Sunrisers Hyderabad ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,2,0,14,0,7,5,2,0,0,0,Abhishek Sharma
Adil Rashid,Sunrisers Hyderabad ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,3,0,23,2,7.66,8,2,1,0,0,Josh Hazlewood
T Natarajan,Sunrisers Hyderabad ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,3,0,23,0,7.66,7,1,1,1,0,Mahipal Lomror
Umran Malik,Sunrisers Hyderabad ,Lucknow Super Giants vs Sunrisers Hyderabad ,10,2,0,22,1,11,7,3,0,2,0,"Chennai Super Kings Team: Ambati Rayudu, Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni (c)†, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana, Deepak Chahar"
Khaleel Ahmed,Delhi Capitals ,Delhi Capitals vs Rajasthan Royals,11,2,0,31,0,15.5,3,6,0,2,0,0
Anrich Nortje,Delhi Capitals ,Delhi Capitals vs Rajasthan Royals,11,4,0,44,0,11,10,6,2,0,0,Akash Madhwal
Mukesh Kumar,Delhi Capitals ,Delhi Capitals vs Rajasthan Royals,11,4,0,36,2,9,8,3,2,0,0,Kartik Tyagi
